trace_id,timestamp,layer,status,bank_date,bank_narration,bank_amount,bank_utr,gateway_order_ids,gateway_payment_ids,gateway_utrs,gateway_net_amounts,gateway_total_net,ledger_order_ids,ledger_expected_amounts,amount_diff,confidence,reason_code,reason,suggested_step
TR-68D6ECBC5230,2026-09-04T18:04:08.473714,exact,matched,2025-07-01,IMPS/SBIN1317127484/RAZORPAY/order_0061/SETTLEMENT,2928.22,SBIN1317127484,order_0061,pay_13805228f6e547,SBIN1317127484,2928.22,2928.22,order_0061,2999.0,0.0,1.0,,"Exact UTR match (SBIN1317127484), amount matches to ₹0.00",No action needed — fully reconciled
TR-1BAA1B962E98,2026-09-04T18:04:08.473741,exact,matched,2025-07-01,NEFT HDFC7826398214 RAZORPAY SOFTWAR PVT LTD order_0062,2928.22,HDFC7826398214,order_0062,pay_cc52fbb9d1804f,HDFC7826398214,2928.22,2928.22,order_0062,2999.0,0.0,1.0,,"Exact UTR match (HDFC7826398214), amount matches to ₹0.00",No action needed — fully reconciled
TR-7B8E4DD38EC5,2026-09-04T18:04:08.473745,exact,matched,2025-07-02,NEFT-BARB2174596158-RAZORPAY-SETTLEMENT-order_0065,2363.58,BARB2174596158,order_0065,pay_e5b071f12d9847,BARB2174596158,2363.58,2363.58,order_0065,2420.7,0.0,1.0,,"Exact UTR match (BARB2174596158), amount matches to ₹0.00",No action needed — fully reconciled
TR-DEAF7780E358,2026-09-04T18:04:08.473747,exact,matched,2025-07-03,RTGS/KKBK3561595148/RAZORPAYSOFTWARE/order_0028,11437.49,KKBK3561595148,order_0028,pay_6d820d60c23b42,KKBK3561595148,11437.49,11437.49,order_0028,11835.15,0.0,1.0,,"Exact UTR match (KKBK3561595148), amount matches to ₹0.00",No action needed — fully reconciled
TR-114AE33B6A2D,2026-09-04T18:04:08.473750,tolerant,matched,2025-07-04,ONLINE TRF RAZORPAY PVT ACME CORP SETL,32886.24,,order_0036,pay_5aa15b236b9548,KKBK3734670656,32886.24,32886.24,order_0036,34029.64,0.0,0.75,,"Tolerant match — amount diff ₹0.00, date within 4d, fuzzy score 17%",No action needed — matched within tolerance
TR-CE5A5CE3CD25,2026-09-04T18:04:08.473752,tolerant,matched,2025-06-05,BY CLG RAZORPAY STTLMNT order_0032,6900.14,,order_0032,pay_9de59ac3be0446,HDFC2870831727,6900.14,6900.14,order_0032,7066.92,0.0,0.84,,"Tolerant match — amount diff ₹0.00, date within 3d, fuzzy score 45%",No action needed — matched within tolerance
TR-45EF8903037C,2026-09-04T18:04:08.473754,exact,matched,2025-06-05,NEFT/ICIC6413953767/RAZORPAY SOFTWARE PVT LTD/order_0006,36729.87,ICIC6413953767,order_0006,pay_42b7b28b1d534b,ICIC6413953767,36729.87,36729.87,order_0006,38006.91,0.0,1.0,,"Exact UTR match (ICIC6413953767), amount matches to ₹0.00",No action needed — fully reconciled
TR-0D601D40986A,2026-09-04T18:04:08.473756,exact,matched,2025-07-05,MMT/NEFT/SBIN4990913341/RAZORPAY/SETTLMNT/order_0050,19857.48,SBIN4990913341,order_0050,pay_176f5b3eda894b,SBIN4990913341,19857.48,19857.48,order_0050,20547.89,0.0,1.0,,"Exact UTR match (SBIN4990913341), amount matches to ₹0.00",No action needed — fully reconciled
TR-E0AC245C0554,2026-09-04T18:04:08.473757,tolerant,matched,2025-07-05,NEFT CR RZPAY SETTLMENT,22108.17,,order_0018,pay_972b1289de0846,KKBK1219136193,22108.17,22108.17,order_0018,22876.84,0.0,0.74,,"Tolerant match — amount diff ₹0.00, date within 0d, fuzzy score 12%",No action needed — matched within tolerance
TR-AD7054A5DC24,2026-09-04T18:04:08.473759,exact,matched,2025-07-06,NEFT CR-SBIN8727743487-RAZORPAY SOFTWARE PVT-order_0033,41339.45,SBIN8727743487,order_0033,pay_31dc9a71444949,SBIN8727743487,41339.45,41339.45,order_0033,42776.76,0.0,1.0,,"Exact UTR match (SBIN8727743487), amount matches to ₹0.00",No action needed — fully reconciled
TR-5655EE11A7DF,2026-09-04T18:04:08.473761,tolerant,matched,2025-06-06,ACH CR RAZRPAY STLMT order_0039,9150.38,,order_0039,pay_a5aed80b758f41,HDFC2719374529,9150.38,9150.38,order_0039,9371.55,0.0,0.85,,"Tolerant match — amount diff ₹0.00, date within 1d, fuzzy score 49%",No action needed — matched within tolerance
TR-51DAEC78F90B,2026-09-04T18:04:08.473763,exact,matched,2025-06-06,NEFT CR-KKBK4131869993-RAZORPAY SOFTWARE PVT-order_0049,25297.88,KKBK4131869993,order_0049,pay_b9496050116744,KKBK4131869993,25297.88,25297.88,order_0049,26177.44,0.0,1.0,,"Exact UTR match (KKBK4131869993), amount matches to ₹0.00",No action needed — fully reconciled
TR-0DC9EF3E2A15,2026-09-04T18:04:08.473765,exact,matched,2025-06-06,NEFT SBIN7974034471 RAZORPAY SOFTWAR PVT LTD order_0051,8040.37,SBIN7974034471,order_0051,pay_5ef45eca794b4a,SBIN7974034471,8040.37,8040.37,order_0051,8234.7,0.0,1.0,,"Exact UTR match (SBIN7974034471), amount matches to ₹0.00",No action needed — fully reconciled
TR-5B97F4CF8309,2026-09-04T18:04:08.473767,exact,matched,2025-06-06,NEFT CR-BARB8637940265-RAZORPAY SOFTWARE PVT-order_0002,22215.9,BARB8637940265,order_0002,pay_be909ee1e39c42,BARB8637940265,22215.9,22215.9,order_0002,22988.31,0.0,1.0,,"Exact UTR match (BARB8637940265), amount matches to ₹0.00",No action needed — fully reconciled
TR-81220A9CA01D,2026-09-04T18:04:08.473769,exact,matched,2025-07-07,BY TRANSFER-NEFT-HDFC2782489638-RAZORPAY SOFTWARE P-GLOBAL IMPEX,4209.83,HDFC2782489638,order_0011,pay_9ca9c38dcea048,HDFC2782489638,4209.83,4209.83,order_0011,4311.58,0.0,1.0,,"Exact UTR match (HDFC2782489638), amount matches to ₹0.00",No action needed — fully reconciled
TR-7FBD4C392D0E,2026-09-04T18:04:08.473771,exact,matched,2025-06-07,NEFT HDFC3218196001 RAZORPAY SOFTWAR PVT LTD order_0001,27981.62,HDFC3218196001,order_0001,pay_6bb8b9e0da0a46,HDFC3218196001,27981.62,27981.62,order_0001,28954.49,0.0,1.0,,"Exact UTR match (HDFC3218196001), amount matches to ₹0.00",No action needed — fully reconciled
TR-A64B81BAD76F,2026-09-04T18:04:08.473773,exact,matched,2025-06-07,BY TRANSFER-NEFT-UTIB5331586923-RAZORPAY SOFTWARE P-order_0024,18966.09,UTIB5331586923,order_0024,pay_401240af77da4b,UTIB5331586923,18966.09,18966.09,order_0024,19625.51,0.0,1.0,,"Exact UTR match (UTIB5331586923), amount matches to ₹0.00",No action needed — fully reconciled
TR-3F3C4DD42EA6,2026-09-04T18:04:08.473774,exact,matched,2025-07-07,IMPS/UTIB3482477109/RAZORPAY/order_0060/SETTLEMENT,2928.22,UTIB3482477109,order_0060,pay_27cd12ff579046,UTIB3482477109,2928.22,2928.22,order_0060,2999.0,0.0,1.0,,"Exact UTR match (UTIB3482477109), amount matches to ₹0.00",No action needed — fully reconciled
TR-532A379FF126,2026-09-04T18:04:08.473776,exact,matched,2025-07-08,RTGS/SBIN8087603859/RAZORPAYSOFTWARE/order_0059,2928.22,SBIN8087603859,order_0059,pay_01c6f8fc053542,SBIN8087603859,2928.22,2928.22,order_0059,2999.0,0.0,1.0,,"Exact UTR match (SBIN8087603859), amount matches to ₹0.00",No action needed — fully reconciled
TR-4D9C22CE4B0A,2026-09-04T18:04:08.473777,exact,matched,2025-06-08,NEFT/BARB4316117240/RAZORPAY SOFTWARE PVT LTD/order_0066,9305.08,BARB4316117240,order_0066,pay_72cda40d8baf45,BARB4316117240,9305.08,9305.08,order_0066,9529.99,0.0,1.0,,"Exact UTR match (BARB4316117240), amount matches to ₹0.00",No action needed — fully reconciled
TR-D102886FCCE3,2026-09-04T18:04:08.473779,exact,matched,2025-06-09,BY TRANSFER-NEFT-KKBK9118384251-RAZORPAY SOFTWARE P-FRESH FOODS CO,40435.45,KKBK9118384251,order_0020,pay_505588a7eaae44,KKBK9118384251,40435.45,40435.45,order_0020,41841.32,0.0,1.0,,"Exact UTR match (KKBK9118384251), amount matches to ₹0.00",No action needed — fully reconciled
TR-A0BD2C73A0C0,2026-09-04T18:04:08.473781,tolerant,matched,2025-07-11,BY CLG RAZORPAY STTLMNT order_0007,6555.11,,order_0007,pay_92fe8f5a8c9044,BARB9696532871,6555.11,6555.11,order_0007,6713.55,0.0,0.84,,"Tolerant match — amount diff ₹0.00, date within 2d, fuzzy score 45%",No action needed — matched within tolerance
TR-583B01E53B95,2026-09-04T18:04:08.473782,exact,matched,2025-07-12,NEFT HDFC3430980500 RAZORPAY SOFTWAR PVT LTD order_0017,30439.98,HDFC3430980500,order_0017,pay_05940cf5b97447,HDFC3430980500,30439.98,30439.98,order_0017,31498.32,0.0,1.0,,"Exact UTR match (HDFC3430980500), amount matches to ₹0.00",No action needed — fully reconciled
TR-737A22139A7D,2026-09-04T18:04:08.473784,tolerant,matched,2025-06-13,TRF FRM RAZORPAY-0040,33931.99,,order_0040,pay_5a8ed54a219940,KKBK0496631931,33931.99,33931.99,order_0040,35111.74,0.0,0.82,,"Tolerant match — amount diff ₹0.00, date within 0d, fuzzy score 39%",No action needed — matched within tolerance
TR-77FA615BEA1D,2026-09-04T18:04:08.473786,llm_assisted,matched,2025-06-16,TRF FRM RAZORPAY-0053,27753.02,,order_0053 | order_0054 | order_0052,pay_8c93601d916146 | pay_960fb71cb46948 | pay_cd7e84ef6f1447,KKBK3618324210 | KKBK3618324210 | KKBK3618324210,2676.26 | 13862.41 | 11214.35,27753.02,order_0053 | order_0054 | order_0052,2740.95 | 14197.47 | 11485.41,0.0,0.97,,AI-assisted split match — UTR fragment '0053' and exact amount match sum of three orders sharing same UTR with 3‑day settlement lag. Arithmetic verified: diff ₹0.00,AI-matched and arithmetically verified — review if needed
TR-0691910A60C4,2026-09-04T18:04:08.473788,exact,matched,2025-06-16,BY TRANSFER-NEFT-BARB3654145868-RAZORPAY SOFTWARE P-order_0026,35770.2,BARB3654145868,order_0026,pay_7b15cc5fdcda41,BARB3654145868,35770.2,35770.2,order_0026,37013.87,0.0,1.0,,"Exact UTR match (BARB3654145868), amount matches to ₹0.00",No action needed — fully reconciled
