txn_date,narration,amount,balance,value_date
01-Jul-2025,IMPS/SBIN1317127484/RAZORPAY/order_0061/SETTLEMENT,"2,928.22","1,151,006.10",01/07/2025
01/07/2025,NEFT HDFC7826398214 RAZORPAY SOFTWAR PVT LTD order_0062,INR 2928.22,INR 1153934.32,2025-07-02
02-Jul-2025,NEFT-BARB2174596158-RAZORPAY-SETTLEMENT-order_0065,2363.58,1032596.95,02/07/2025
03/07/2025,RTGS/KKBK3561595148/RAZORPAYSOFTWARE/order_0028,11437.49,1117177.01,2025-07-04
04-Jul-2025,ONLINE TRF RAZORPAY PVT ACME CORP SETL,INR 32886.24,INR 1105739.52,05/07/2025
05/06/2025,BY CLG RAZORPAY STTLMNT order_0032,"₹6,900.14","₹156,900.14",2025-06-05
05/06/2025,NEFT/ICIC6413953767/RAZORPAY SOFTWARE PVT LTD/order_0006,"36,729.87","359,307.82",2025-06-06
05/07/2025,MMT/NEFT/SBIN4990913341/RAZORPAY/SETTLMNT/order_0050,"19,857.48","1,227,870.27",2025-07-06
05/07/2025,NEFT CR RZPAY SETTLMENT,"₹22,108.17","₹1,265,121.52",2025-07-06
06-Jul-2025,NEFT CR-SBIN8727743487-RAZORPAY SOFTWARE PVT-order_0033,"₹41,339.45","₹1,208,012.79",07/07/2025
06-Jun-2025,ACH CR RAZRPAY STLMT order_0039,"9,150.38","259,581.99",06/06/2025
06-Jun-2025,NEFT CR-KKBK4131869993-RAZORPAY SOFTWARE PVT-order_0049,25297.88,388178.54,06/06/2025
06-Jun-2025,NEFT SBIN7974034471 RAZORPAY SOFTWAR PVT LTD order_0051,INR 8040.37,INR 448946.57,07/06/2025
06/06/2025,NEFT CR-BARB8637940265-RAZORPAY SOFTWARE PVT-order_0002,22215.90,212043.28,2025-06-07
07-Jul-2025,BY TRANSFER-NEFT-HDFC2782489638-RAZORPAY SOFTWARE P-GLOBAL IMPEX,4209.83,1243013.35,08/07/2025
07-Jun-2025,NEFT HDFC3218196001 RAZORPAY SOFTWAR PVT LTD order_0001,INR 27981.62,INR 189827.38,07/06/2025
07/06/2025,BY TRANSFER-NEFT-UTIB5331586923-RAZORPAY SOFTWARE P-order_0024,INR 18966.09,INR 278548.08,2025-06-07
07/07/2025,IMPS/UTIB3482477109/RAZORPAY/order_0060/SETTLEMENT,2928.22,1311005.86,2025-07-08
08-Jul-2025,RTGS/SBIN8087603859/RAZORPAYSOFTWARE/order_0059,INR 2928.22,INR 1308077.64,08/07/2025
08-Jun-2025,NEFT/BARB4316117240/RAZORPAY SOFTWARE PVT LTD/order_0066,"₹9,305.08","₹322,577.95",09/06/2025
09/06/2025,BY TRANSFER-NEFT-KKBK9118384251-RAZORPAY SOFTWARE P-FRESH FOODS CO,"₹40,435.45","₹428,613.99",2025-06-10
11-Jul-2025,BY CLG RAZORPAY STTLMNT order_0007,"6,555.11","1,328,928.12",12/07/2025
12/07/2025,NEFT HDFC3430980500 RAZORPAY SOFTWAR PVT LTD order_0017,INR 30439.98,INR 1359368.10,2025-07-13
13-Jun-2025,TRF FRM RAZORPAY-0040,"₹33,931.99","₹524,889.73",14/06/2025
16/06/2025,TRF FRM RAZORPAY-0053,27753.02,476699.59,2025-06-16
16/06/2025,BY TRANSFER-NEFT-BARB3654145868-RAZORPAY SOFTWARE P-order_0026,"₹35,770.20","₹594,580.45",2025-06-16
17/06/2025,NEFT CR-KKBK1669784801-RAZORPAY SOFTWARE PVT-SUNRISE TRADERS,INR 7129.12,INR 483828.71,2025-06-18
19-Jun-2025,MMT/NEFT/HDFC4874016400/RAZORPAY/SETTLMNT/order_0022,12600.07,558810.25,19/06/2025
19/06/2025,NEFT HDFC6247317810 RAZORPAY SOFTWAR PVT LTD order_0015,"11,176.63","536,066.36",2025-06-20
2025-06-05,NEFT/SBIN3421607337/RAZORPAY SOFTWARE PVT LTD/METRO RETAIL,"₹38,388.33","₹250,431.61",06-Jun-2025
2025-06-05,BY CLG RAZORPAY STTLMNT order_0013,INR 3572.84,INR 362880.66,06-Jun-2025
2025-06-06,BY TRANSFER-NEFT-SBIN7752047116-RAZORPAY SOFTWARE P-order_0048,"4,945.62","161,845.76",07-Jun-2025
