payment_id,order_id,gross_amount,razorpay_fee,gst_on_fee,tax_deducted,net_amount,settlement_utr,settlement_date,status
pay_b69f14ab4e4743,order_0032,7066.92,141.34,25.44,0.0,6900.14,HDFC2870831727,2025-06-02,captured
pay_31e96a5ad64d4e,order_0048,5065.15,101.3,18.23,0.0,4945.62,SBIN7752047116,2025-06-04,captured
pay_07a7bc5dcb124d,order_0001,28954.49,579.09,104.24,289.54,27981.62,HDFC3218196001,2025-06-05,captured
pay_0a8103a9329246,order_0002,22988.31,459.77,82.76,229.88,22215.9,BARB8637940265,2025-06-05,captured
pay_39bd49141b0b45,order_0025,39723.02,794.46,143.0,397.23,38388.33,SBIN3421607337,2025-06-03,captured
pay_8050cc53bc1143,order_0039,9371.55,187.43,33.74,0.0,9150.38,HDFC2719374529,2025-06-05,captured
pay_435ebe2636c94b,order_0024,19625.51,392.51,70.65,196.26,18966.09,UTIB5331586923,2025-06-05,captured
pay_fb67c81d545f40,order_0041,35932.11,718.64,129.36,359.32,34724.79,SBIN5185067165,2025-06-05,captured
pay_0f52cce4127f40,order_0066,9529.99,190.6,34.31,0.0,9305.08,BARB4316117240,2025-06-07,partial_refund
pay_d7e6f2cf6f284b,order_0006,38006.91,760.14,136.83,380.07,36729.87,ICIC6413953767,2025-06-05,captured
pay_20e25422c57f42,order_0013,3659.19,73.18,13.17,0.0,3572.84,UTIB5183473829,2025-06-05,captured
pay_4234211151fd4e,order_0049,26177.44,523.55,94.24,261.77,25297.88,KKBK4131869993,2025-06-05,captured
pay_013797932a2149,order_0020,41841.32,836.83,150.63,418.41,40435.45,KKBK9118384251,2025-06-06,captured
pay_50f9172bd5df44,order_0034,12719.59,254.39,45.79,127.2,12292.21,HDFC4558122362,2025-06-08,captured
pay_ff34da9b49434f,order_0051,8234.7,164.69,29.64,0.0,8040.37,SBIN7974034471,2025-06-06,captured
pay_125af678584b4d,order_0053,2740.95,54.82,9.87,0.0,2676.26,KKBK3618324210,2025-06-13,captured
pay_beeb29555f8948,order_0054,14197.47,283.95,51.11,0.0,13862.41,KKBK3618324210,2025-06-13,captured
pay_371467d5b77440,order_0052,11485.41,229.71,41.35,0.0,11214.35,KKBK3618324210,2025-06-13,captured
pay_3fd9407045084d,order_0008,7301.44,146.03,26.29,0.0,7129.12,KKBK1669784801,2025-06-14,captured
pay_58f014dba29e44,order_0010,7301.35,146.03,26.29,0.0,7129.03,UTIB9570154303,2025-06-14,captured
pay_2ff5a8cd5e0d45,order_0040,35111.74,702.23,126.4,351.12,33931.99,KKBK0496631931,2025-06-13,captured
pay_a7af430dd3a34e,order_0015,11565.21,231.3,41.63,115.65,11176.63,HDFC6247317810,2025-06-16,captured
pay_1828517f8ba148,order_0031,10496.51,209.93,37.79,104.97,10143.82,UTIB3791769367,2025-06-14,captured
pay_983f7ab89f5b49,order_0022,13038.15,260.76,46.94,130.38,12600.07,HDFC4874016400,2025-06-17,captured
pay_5ae917cabf794a,order_0026,37013.87,740.28,133.25,370.14,35770.2,BARB3654145868,2025-06-16,captured
