order_id,payment_id,settlement_utr,expected_match_type,expected_outcome
order_0032,pay_b69f14ab4e4743,HDFC2870831727,exact,matched_exact
order_0048,pay_31e96a5ad64d4e,SBIN7752047116,exact,matched_exact
order_0001,pay_07a7bc5dcb124d,HDFC3218196001,exact,matched_exact
order_0002,pay_0a8103a9329246,BARB8637940265,exact,matched_exact
order_0025,pay_39bd49141b0b45,SBIN3421607337,exact,matched_exact
order_0039,pay_8050cc53bc1143,HDFC2719374529,exact,matched_exact
order_0024,pay_435ebe2636c94b,UTIB5331586923,exact,matched_exact
order_0041,pay_fb67c81d545f40,SBIN5185067165,exact,matched_exact
order_0066,pay_0f52cce4127f40,BARB4316117240,partial_refund,matched_tolerant
order_0006,pay_d7e6f2cf6f284b,ICIC6413953767,exact,matched_exact
order_0013,pay_20e25422c57f42,UTIB5183473829,exact,matched_exact
order_0049,pay_4234211151fd4e,KKBK4131869993,exact,matched_exact
order_0020,pay_013797932a2149,KKBK9118384251,exact,matched_exact
order_0034,pay_50f9172bd5df44,HDFC4558122362,exact,matched_exact
order_0051,pay_ff34da9b49434f,SBIN7974034471,exact,matched_exact
order_0053,pay_125af678584b4d,KKBK3618324210,split,matched_split
order_0054,pay_beeb29555f8948,KKBK3618324210,split,matched_split
order_0052,pay_371467d5b77440,KKBK3618324210,split,matched_split
order_0008,pay_3fd9407045084d,KKBK1669784801,exact,matched_exact
order_0010,pay_58f014dba29e44,UTIB9570154303,exact,matched_exact
order_0040,pay_2ff5a8cd5e0d45,KKBK0496631931,exact,matched_exact
order_0015,pay_a7af430dd3a34e,HDFC6247317810,exact,matched_exact
order_0031,pay_1828517f8ba148,UTIB3791769367,exact,matched_exact
order_0022,pay_983f7ab89f5b49,HDFC4874016400,exact,matched_exact
order_0026,pay_5ae917cabf794a,BARB3654145868,exact,matched_exact
order_0046,pay_1b8197999d4046,ICIC1823374989,exact,matched_exact
order_0057,pay_158a923a713b4e,KKBK6717565512,split,matched_split
order_0058,pay_08d94033b8ac4f,KKBK6717565512,split,matched_split
order_0016,pay_38fa74f10c944a,SBIN7360260647,exact,matched_exact
order_0043,pay_353452e8dc4b4f,KKBK6507527354,exact,matched_exact
order_0023,pay_aec267b8237246,KKBK6801128059,exact,matched_exact
order_0027,pay_2328f8d8331148,ICIC0196556981,exact,matched_exact
order_0044,pay_011d9e7026f248,KKBK3136783777,exact,matched_exact
order_0029,pay_794de0ef811741,HDFC6629946804,exact,matched_exact
order_0047,pay_10cbaffc8c9340,HDFC4082400842,exact,matched_exact
order_0067,pay_11161e2be9fc4f,SBIN2386922219,mismatch,AMOUNT_MISMATCH_BEYOND_TOLERANCE
order_0030,pay_fbfc9b46bad740,SBIN3872148951,exact,matched_exact
order_0003,pay_619e52fc474f44,SBIN1559407816,exact,matched_exact
order_0009,pay_813aa55eb5aa4e,SBIN2704828148,exact,matched_exact
order_0035,pay_78cb7800239c4b,SBIN0366909670,exact,matched_exact
order_0038,pay_84d9d262650149,SBIN4170805310,exact,matched_exact
order_0064,pay_99dc4ae4a05244,SBIN0576627028,partial_refund,matched_tolerant
order_0005,pay_672e247ca6f24f,BARB1928327648,exact,matched_exact
order_0056,pay_7198c902d43949,UTIB9065940139,split,matched_split
order_0004,pay_ece461dbebe548,BARB1034131647,exact,matched_exact
order_0012,pay_5e4c69263d6549,SBIN1331509839,exact,matched_exact
order_0055,pay_0573d6035d4244,UTIB9065940139,split,matched_split
order_0065,pay_f700dab5657041,BARB2174596158,partial_refund,matched_tolerant
order_0045,pay_7f4f5d779ea347,ICIC9578856855,exact,matched_exact
order_0019,pay_55c67fe3a0b94b,KKBK8543534624,exact,matched_exact
order_0036,pay_9d135e3c638349,KKBK3734670656,exact,matched_exact
order_0028,pay_2a05c88980f44d,KKBK3561595148,exact,matched_exact
order_0042,pay_c1a39cf771a446,BARB4987769453,exact,matched_exact
order_0061,pay_f9d6f5d9bd1249,SBIN1317127484,duplicate,matched_exact
order_0062,pay_80fe4251119546,HDFC7826398214,duplicate,matched_exact
order_0021,pay_4dec5c3bedf74c,KKBK8084124118,exact,matched_exact
order_0033,pay_10097b259b3e4a,SBIN8727743487,exact,matched_exact
order_0050,pay_9aed87e9c11a45,SBIN4990913341,exact,matched_exact
order_0014,pay_8146252b7b724e,UTIB1656670106,exact,matched_exact
order_0011,pay_03903122af314a,HDFC2782489638,exact,matched_exact
order_0018,pay_70b28f7d2eac4f,KKBK1219136193,exact,matched_exact
order_0037,pay_a9ce6cdc017847,KKBK9016272046,exact,matched_exact
order_0059,pay_c906f109df6442,SBIN8087603859,duplicate,matched_exact
order_0060,pay_2601ce72d44c4f,UTIB3482477109,duplicate,matched_exact
order_0063,pay_5d7892e3e47d47,ICIC9972787558,partial_refund,matched_tolerant
order_0007,pay_3dfe4fa849544c,BARB9696532871,exact,matched_exact
order_0017,pay_9cda18e7162f45,HDFC3430980500,exact,matched_exact
order_0068,pay_db132d13f4534e,,pending,PENDING_NOT_YET_SETTLED
order_0069,pay_42978fd79bd14c,,pending,PENDING_NOT_YET_SETTLED
order_0071,pay_2fe9cdd5ab6f48,,pending,PENDING_NOT_YET_SETTLED
order_0070,pay_641d2d3d7f5b4f,,pending,PENDING_NOT_YET_SETTLED
order_0072,pay_874a1566671c44,,pending,PENDING_NOT_YET_SETTLED
