order_id,customer_ref,invoice_amount,expected_amount,order_date,channel,status
order_0032,CUST-97500,7066.92,7066.92,2025-06-01,payment_link,completed
order_0048,CUST-74454,5065.15,5065.15,2025-06-01,online,completed
order_0001,CUST-38657,28954.49,28954.49,2025-06-02,pos,completed
order_0002,CUST-46421,22988.31,22988.31,2025-06-02,pos,completed
order_0025,CUST-55830,39723.02,39723.02,2025-06-02,payment_link,completed
order_0039,CUST-89593,9371.55,9371.55,2025-06-02,online,completed
order_0024,CUST-31299,19625.51,19625.51,2025-06-03,pos,completed
order_0041,CUST-93307,35932.11,35932.11,2025-06-03,subscription,completed
order_0066,CUST-56984,13496.81,9529.99,2025-06-03,payment_link,partial_refund
order_0006,CUST-28726,38006.91,38006.91,2025-06-04,payment_link,completed
order_0013,CUST-85525,3659.19,3659.19,2025-06-04,subscription,completed
order_0049,CUST-78494,26177.44,26177.44,2025-06-04,subscription,completed
order_0020,CUST-42018,41841.32,41841.32,2025-06-05,payment_link,completed
order_0034,CUST-38043,12719.59,12719.59,2025-06-05,online,completed
order_0051,CUST-40595,8234.7,8234.7,2025-06-05,payment_link,completed
order_0053,CUST-49857,2740.95,2740.95,2025-06-09,subscription,completed
order_0054,CUST-75597,14197.47,14197.47,2025-06-09,subscription,completed
order_0052,CUST-84607,11485.41,11485.41,2025-06-10,subscription,completed
order_0008,CUST-99353,7301.44,7301.44,2025-06-11,payment_link,completed
order_0010,CUST-84364,7301.35,7301.35,2025-06-11,online,completed
order_0040,CUST-49529,35111.74,35111.74,2025-06-11,online,completed
order_0015,CUST-95477,11565.21,11565.21,2025-06-13,online,completed
order_0031,CUST-62383,10496.51,10496.51,2025-06-13,pos,completed
order_0022,CUST-53719,13038.15,13038.15,2025-06-14,pos,completed
order_0026,CUST-53404,37013.87,37013.87,2025-06-15,online,completed
order_0046,CUST-47093,14144.72,14144.72,2025-06-15,online,completed
order_0057,CUST-96846,7936.57,7936.57,2025-06-15,online,completed
order_0058,CUST-51224,7367.56,7367.56,2025-06-15,payment_link,completed
order_0016,CUST-47388,43620.33,43620.33,2025-06-16,subscription,completed
order_0043,CUST-54608,39732.59,39732.59,2025-06-16,payment_link,completed
order_0023,CUST-82420,28851.55,28851.55,2025-06-17,pos,completed
order_0027,CUST-60488,5632.71,5632.71,2025-06-17,pos,completed
order_0044,CUST-12260,39674.24,39674.24,2025-06-18,online,completed
order_0029,CUST-47606,15015.14,15015.14,2025-06-19,pos,completed
order_0047,CUST-93606,37551.96,37551.96,2025-06-19,subscription,completed
order_0067,CUST-60140,14200.0,14200.0,2025-06-19,online,disputed
order_0030,CUST-40784,19630.02,19630.02,2025-06-21,payment_link,completed
order_0003,CUST-20328,10081.46,10081.46,2025-06-22,payment_link,completed
order_0009,CUST-89818,34702.64,34702.64,2025-06-22,pos,completed
order_0035,CUST-56105,18961.62,18961.62,2025-06-22,payment_link,completed
order_0038,CUST-14067,20734.12,20734.12,2025-06-22,pos,completed
order_0064,CUST-78937,12720.56,8988.03,2025-06-22,subscription,partial_refund
order_0005,CUST-38785,7738.11,7738.11,2025-06-23,payment_link,completed
order_0056,CUST-95394,7587.01,7587.01,2025-06-23,payment_link,completed
order_0004,CUST-93320,37408.51,37408.51,2025-06-24,payment_link,completed
order_0012,CUST-38864,18255.16,18255.16,2025-06-24,online,completed
order_0055,CUST-85529,12499.9,12499.9,2025-06-24,pos,completed
order_0065,CUST-73956,3260.91,2420.7,2025-06-25,online,partial_refund
order_0045,CUST-69473,13593.48,13593.48,2025-06-26,payment_link,completed
order_0019,CUST-69929,28062.48,28062.48,2025-06-27,payment_link,completed
order_0036,CUST-31632,34029.64,34029.64,2025-06-27,subscription,completed
order_0028,CUST-50538,11835.15,11835.15,2025-06-28,subscription,completed
order_0042,CUST-21359,31975.23,31975.23,2025-06-28,payment_link,completed
order_0061,CUST-73242,2999.0,2999.0,2025-06-28,subscription,completed
order_0062,CUST-54548,2999.0,2999.0,2025-06-28,payment_link,completed
order_0021,CUST-30374,13181.94,13181.94,2025-06-29,payment_link,completed
order_0033,CUST-92149,42776.76,42776.76,2025-06-29,pos,completed
order_0050,CUST-30585,20547.89,20547.89,2025-06-29,pos,completed
order_0014,CUST-54473,11313.38,11313.38,2025-07-01,online,completed
order_0011,CUST-36365,4311.58,4311.58,2025-07-02,payment_link,completed
order_0018,CUST-85880,22876.84,22876.84,2025-07-04,online,completed
order_0037,CUST-52906,41419.6,41419.6,2025-07-05,pos,completed
order_0059,CUST-91973,2999.0,2999.0,2025-07-05,subscription,completed
order_0060,CUST-30758,2999.0,2999.0,2025-07-05,payment_link,completed
order_0063,CUST-34727,16949.34,11641.9,2025-07-05,pos,partial_refund
order_0007,CUST-16175,6713.55,6713.55,2025-07-06,online,completed
order_0017,CUST-86569,31498.32,31498.32,2025-07-06,subscription,completed
order_0068,CUST-75230,15873.05,15873.05,2025-07-11,pos,pending
order_0069,CUST-70236,12067.6,12067.6,2025-07-12,payment_link,pending
order_0071,CUST-87014,11601.51,11601.51,2025-07-13,payment_link,pending
order_0070,CUST-47700,22573.8,22573.8,2025-07-15,pos,pending
order_0072,CUST-49599,17567.52,17567.52,2025-07-15,pos,pending
